[2024-09-20 11:15:46] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2024-09-20 11:15:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/sample/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
